Movie_ID,Title,Genre,Director,Cast,Country,Release_Year,Rating,Duration_Minutes,Language,Popularity_Score,Vote_Count,Age_Group,Description,Combined_Features
1,The Secret 1,Comedy,Raj Kumar,Michael Johnson,Australia,2006,U/A,131,Tamil,9.56,259278,Kids,"A comedy movie directed by Raj Kumar, starring Michael Johnson. The story takes place in Australia and follows an exciting journey filled with mystery, emotions and unexpected events.","Comedy Raj Kumar Michael Johnson Australia Tamil U/A Kids A comedy movie directed by Raj Kumar, starring Michael Johnson. The story takes place in Australia and follows an exciting journey filled with mystery, emotions and unexpected events."
2,The Last Journey 2,Animation,James Anderson,Daniel Scott,Japan,2007,U,140,English,6.37,137437,Teens,"A animation movie directed by James Anderson, starring Daniel Scott. The story takes place in Japan and follows an exciting journey filled with mystery, emotions and unexpected events.","Animation James Anderson Daniel Scott Japan English U Teens A animation movie directed by James Anderson, starring Daniel Scott. The story takes place in Japan and follows an exciting journey filled with mystery, emotions and unexpected events."
3,Ocean Mystery 3,Thriller,Steven Martin,Daniel Scott,India,2018,PG,166,Tamil,1.52,374971,Teens,"A thriller movie directed by Steven Martin, starring Daniel Scott. The story takes place in India and follows an exciting journey filled with mystery, emotions and unexpected events.","Thriller Steven Martin Daniel Scott India Tamil PG Teens A thriller movie directed by Steven Martin, starring Daniel Scott. The story takes place in India and follows an exciting journey filled with mystery, emotions and unexpected events."
4,Unknown Enemy 4,Documentary,Arjun Rao,Chris Evans,India,2020,A,179,Telugu,2.29,41190,Adults,"A documentary movie directed by Arjun Rao, starring Chris Evans. The story takes place in India and follows an exciting journey filled with mystery, emotions and unexpected events.","Documentary Arjun Rao Chris Evans India Telugu A Adults A documentary movie directed by Arjun Rao, starring Chris Evans. The story takes place in India and follows an exciting journey filled with mystery, emotions and unexpected events."
5,Magic World 5,Drama,John Williams,Arjun Reddy,USA,2021,U,132,Hindi,9.73,194127,Adults,"A drama movie directed by John Williams, starring Arjun Reddy. The story takes place in USA and follows an exciting journey filled with mystery, emotions and unexpected events.","Drama John Williams Arjun Reddy USA Hindi U Adults A drama movie directed by John Williams, starring Arjun Reddy. The story takes place in USA and follows an exciting journey filled with mystery, emotions and unexpected events."
6,Ocean Mystery 6,Romance,Arjun Rao,Chris Evans,India,2005,U,81,Korean,2.64,235896,Family,"A romance movie directed by Arjun Rao, starring Chris Evans. The story takes place in India and follows an exciting journey filled with mystery, emotions and unexpected events.","Romance Arjun Rao Chris Evans India Korean U Family A romance movie directed by Arjun Rao, starring Chris Evans. The story takes place in India and follows an exciting journey filled with mystery, emotions and unexpected events."
7,Dark Night 7,Comedy,Steven Martin,Chris Evans,France,2000,U,155,Tamil,6.5,465248,Teens,"A comedy movie directed by Steven Martin, starring Chris Evans. The story takes place in France and follows an exciting journey filled with mystery, emotions and unexpected events.","Comedy Steven Martin Chris Evans France Tamil U Teens A comedy movie directed by Steven Martin, starring Chris Evans. The story takes place in France and follows an exciting journey filled with mystery, emotions and unexpected events."
8,Future City 8,Horror,James Anderson,David Miller,USA,2011,PG,168,Japanese,3.62,156830,Adults,"A horror movie directed by James Anderson, starring David Miller. The story takes place in USA and follows an exciting journey filled with mystery, emotions and unexpected events.","Horror James Anderson David Miller USA Japanese PG Adults A horror movie directed by James Anderson, starring David Miller. The story takes place in USA and follows an exciting journey filled with mystery, emotions and unexpected events."
9,Dark Night 9,Drama,Christopher Lee,Arjun Reddy,Canada,2009,PG-13,171,Spanish,9.76,452466,Teens,"A drama movie directed by Christopher Lee, starring Arjun Reddy. The story takes place in Canada and follows an exciting journey filled with mystery, emotions and unexpected events.","Drama Christopher Lee Arjun Reddy Canada Spanish PG-13 Teens A drama movie directed by Christopher Lee, starring Arjun Reddy. The story takes place in Canada and follows an exciting journey filled with mystery, emotions and unexpected events."
10,Magic World 10,Animation,Priya Sharma,David Miller,UK,2014,A,141,Korean,2.8,319130,Teens,"A animation movie directed by Priya Sharma, starring David Miller. The story takes place in UK and follows an exciting journey filled with mystery, emotions and unexpected events.","Animation Priya Sharma David Miller UK Korean A Teens A animation movie directed by Priya Sharma, starring David Miller. The story takes place in UK and follows an exciting journey filled with mystery, emotions and unexpected events."
11,Magic World 11,Romance,Raj Kumar,David Miller,India,2019,A,143,French,5.2,331336,Kids,"A romance movie directed by Raj Kumar, starring David Miller. The story takes place in India and follows an exciting journey filled with mystery, emotions and unexpected events.","Romance Raj Kumar David Miller India French A Kids A romance movie directed by Raj Kumar, starring David Miller. The story takes place in India and follows an exciting journey filled with mystery, emotions and unexpected events."
12,Dreams of Tomorrow 12,Thriller,Arjun Rao,Michael Johnson,France,2018,PG,86,Tamil,2.53,473354,Family,"A thriller movie directed by Arjun Rao, starring Michael Johnson. The story takes place in France and follows an exciting journey filled with mystery, emotions and unexpected events.","Thriller Arjun Rao Michael Johnson France Tamil PG Family A thriller movie directed by Arjun Rao, starring Michael Johnson. The story takes place in France and follows an exciting journey filled with mystery, emotions and unexpected events."
13,Digital World 13,Drama,Michael Brown,Robert King,Canada,2017,PG,83,Spanish,9.48,239729,Family,"A drama movie directed by Michael Brown, starring Robert King. The story takes place in Canada and follows an exciting journey filled with mystery, emotions and unexpected events.","Drama Michael Brown Robert King Canada Spanish PG Family A drama movie directed by Michael Brown, starring Robert King. The story takes place in Canada and follows an exciting journey filled with mystery, emotions and unexpected events."
14,Hidden Truth 14,Romance,John Williams,Robert King,South Korea,2017,U,88,Hindi,1.14,252901,Teens,"A romance movie directed by John Williams, starring Robert King. The story takes place in South Korea and follows an exciting journey filled with mystery, emotions and unexpected events.","Romance John Williams Robert King South Korea Hindi U Teens A romance movie directed by John Williams, starring Robert King. The story takes place in South Korea and follows an exciting journey filled with mystery, emotions and unexpected events."
15,Magic World 15,Drama,Vikram Singh,Ravi Kumar,USA,2019,PG-13,171,Japanese,4.96,386602,Family,"A drama movie directed by Vikram Singh, starring Ravi Kumar. The story takes place in USA and follows an exciting journey filled with mystery, emotions and unexpected events.","Drama Vikram Singh Ravi Kumar USA Japanese PG-13 Family A drama movie directed by Vikram Singh, starring Ravi Kumar. The story takes place in USA and follows an exciting journey filled with mystery, emotions and unexpected events."
